/home/fonwin/f9utwf/block/logs/20191118/omstw.log.TwfChg.d4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
333667|20191118131511.560632|20191118131511.560741|20191118131511.560821|109|80
333669|20191118131511.560651|20191118131511.560747|20191118131511.560824|96|77|19|6|3
333671|20191118131511.560657|20191118131511.560748|20191118131511.560825|91|77|6|1|1
333673|20191118131511.560662|20191118131511.560748|20191118131511.560827|86|79|5|0|2
333675|20191118131511.560666|20191118131511.560749|20191118131511.560828|83|79|4|1|1
333677|20191118131511.560670|20191118131511.560749|20191118131511.560829|79|80|4|0|1
333679|20191118131511.560674|20191118131511.560750|20191118131511.560831|76|81|4|1|2
333681|20191118131511.560678|20191118131511.560750|20191118131511.560832|72|82|4|0|1
333683|20191118131511.560683|20191118131511.560751|20191118131511.560833|68|82|5|1|1
333685|20191118131511.560687|20191118131511.560752|20191118131511.560835|65|83|4|1|2
333687|20191118131511.560692|20191118131511.560761|20191118131511.560836|69|75|5|9|1
333689|20191118131511.560693|20191118131511.560761|20191118131511.560837|68|76|1|0|1
333691|20191118131511.560695|20191118131511.560762|20191118131511.560838|67|76|2|1|1
333693|20191118131511.560696|20191118131511.560763|20191118131511.560840|67|77|1|1|2
333695|20191118131511.560697|20191118131511.560763|20191118131511.560850|66|87|1|0|10
333697|20191118131511.560698|20191118131511.560764|20191118131511.560851|66|87|1|1|1
333699|20191118131511.560698|20191118131511.560765|20191118131511.560852|67|87|0|1|1
333701|20191118131511.560699|20191118131511.560765|20191118131511.560853|66|88|1|0|1
333703|20191118131511.560700|20191118131511.560766|20191118131511.560856|66|90|1|1|3
333705|20191118131511.560701|20191118131511.560766|20191118131511.560858|65|92|1|0|2
333707|20191118131511.560702|20191118131511.560767|20191118131511.560859|65|92|1|1|1
333709|20191118131511.560703|20191118131511.560767|20191118131511.560861|64|94|1|0|2
333711|20191118131511.560705|20191118131511.560768|20191118131511.560862|63|94|2|1|1
333713|20191118131511.560706|20191118131511.560768|20191118131511.560863|62|95|1|0|1
333715|20191118131511.560707|20191118131511.560769|20191118131511.560865|62|96|1|1|2
333717|20191118131511.560708|20191118131511.560769|20191118131511.560866|61|97|1|0|1
333719|20191118131511.560709|20191118131511.560770|20191118131511.560867|61|97|1|1|1
333721|20191118131511.560710|20191118131511.560770|20191118131511.560869|60|99|1|0|2
333723|20191118131511.560711|20191118131511.560771|20191118131511.560870|60|99|1|1|1
333725|20191118131511.560712|20191118131511.560771|20191118131511.560872|59|101|1|0|2
333727|20191118131511.560713|20191118131511.560772|20191118131511.560873|59|101|1|1|1
333729|20191118131511.560714|20191118131511.560773|20191118131511.560875|59|102|1|1|2
333731|20191118131511.560715|20191118131511.560773|20191118131511.560876|58|103|1|0|1
333733|20191118131511.560716|20191118131511.560774|20191118131511.560877|58|103|1|1|1
333735|20191118131511.560717|20191118131511.560774|20191118131511.560879|57|105|1|0|2
333737|20191118131511.560718|20191118131511.560775|20191118131511.560880|57|105|1|1|1
333739|20191118131511.560719|20191118131511.560775|20191118131511.560881|56|106|1|0|1
333741|20191118131511.560720|20191118131511.560776|20191118131511.560882|56|106|1|1|1
333743|20191118131511.560730|20191118131511.560776|20191118131511.560884|46|108|10|0|2
333745|20191118131511.560747|20191118131511.560777|20191118131511.560885|30|108|17|1|1
333747|20191118131511.560751|20191118131511.560777|20191118131511.560886|26|109|4|0|1
333749|20191118131511.560756|20191118131511.560802|20191118131511.560888|46|86|5|25|2
333751|20191118131511.560763|20191118131511.560810|20191118131511.560888|47|78|7|8|0
333753|20191118131511.560767|20191118131511.560810|20191118131511.560890|43|80|4|0|2
333755|20191118131511.560771|20191118131511.560811|20191118131511.560891|40|80|4|1|1
333757|20191118131511.560774|20191118131511.560812|20191118131511.560892|38|80|3|1|1
333759|20191118131511.560778|20191118131511.560820|20191118131511.560893|42|73|4|8|1
333761|20191118131511.560792|20191118131511.560821|20191118131511.560893|29|72|14|1|0
333763|20191118131511.560797|20191118131511.560822|20191118131511.560895|25|73|5|1|2
333765|20191118131511.560805|20191118131511.560823|20191118131511.560896|18|73|8|1|1
333767|20191118131511.560808|20191118131511.560823|20191118131511.560897|15|74|3|0|1
333769|20191118131511.560812|20191118131511.560831|20191118131511.560898|19|67|4|8|1
333771|20191118131511.560816|20191118131511.560832|20191118131511.560899|16|67|4|1|1
333773|20191118131511.560823|20191118131511.560837|20191118131511.560900|14|63|7|5|1
333775|20191118131511.560827|20191118131511.560838|20191118131511.560901|11|63|4|1|1
333777|20191118131511.560835|20191118131511.560857|20191118131511.560902|22|45|8|19|1
333779|20191118131511.560856|20191118131511.560863|20191118131511.560913|7|50|21|6|11
333781|20191118131511.560861|20191118131511.560865|20191118131511.560914|4|49|5|2|1
333783|20191118131511.560867|20191118131511.560881|20191118131511.560915|14|34|6|16|1
333785|20191118131511.560872|20191118131511.560886|20191118131511.560916|14|30|5|5|1
333787|20191118131511.560876|20191118131511.560887|20191118131511.560917|11|30|4|1|1
333789|20191118131511.560883|20191118131511.560890|20191118131511.560918|7|28|7|3|1
333791|20191118131511.560890|20191118131511.560902|20191118131511.560919|12|17|7|12|1
333793|20191118131511.560895|20191118131511.560914|20191118131511.560920|19|6|5|12|1
