/home/fonwin/f9utwf/block/logs/20191118/omstw.log.TwfNew.g3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
34|20191118131154.860173|20191118131154.860277|20191118131154.860361|104|84
36|20191118131154.860191|20191118131154.860283|20191118131154.860364|92|81|18|6|3
38|20191118131154.860197|20191118131154.860283|20191118131154.860365|86|82|6|0|1
40|20191118131154.860202|20191118131154.860284|20191118131154.860366|82|82|5|1|1
42|20191118131154.860220|20191118131154.860285|20191118131154.860368|65|83|18|1|2
44|20191118131154.860224|20191118131154.860286|20191118131154.860369|62|83|4|1|1
46|20191118131154.860229|20191118131154.860287|20191118131154.860370|58|83|5|1|1
48|20191118131154.860234|20191118131154.860288|20191118131154.860371|54|83|5|1|1
50|20191118131154.860239|20191118131154.860294|20191118131154.860372|55|78|5|6|1
52|20191118131154.860243|20191118131154.860295|20191118131154.860373|52|78|4|1|1
54|20191118131154.860248|20191118131154.860296|20191118131154.860374|48|78|5|1|1
56|20191118131154.860250|20191118131154.860297|20191118131154.860375|47|78|2|1|1
58|20191118131154.860252|20191118131154.860298|20191118131154.860376|46|78|2|1|1
60|20191118131154.860253|20191118131154.860298|20191118131154.860377|45|79|1|0|1
62|20191118131154.860254|20191118131154.860299|20191118131154.860378|45|79|1|1|1
64|20191118131154.860255|20191118131154.860300|20191118131154.860379|45|79|1|1|1
66|20191118131154.860256|20191118131154.860301|20191118131154.860380|45|79|1|1|1
68|20191118131154.860257|20191118131154.860302|20191118131154.860381|45|79|1|1|1
70|20191118131154.860258|20191118131154.860302|20191118131154.860409|44|107|1|0|28
72|20191118131154.860259|20191118131154.860303|20191118131154.860427|44|124|1|1|18
74|20191118131154.860261|20191118131154.860303|20191118131154.860428|42|125|2|0|1
76|20191118131154.860262|20191118131154.860304|20191118131154.860430|42|126|1|1|2
78|20191118131154.860271|20191118131154.860305|20191118131154.860431|34|126|9|1|1
80|20191118131154.860272|20191118131154.860305|20191118131154.860432|33|127|1|0|1
82|20191118131154.860285|20191118131154.860306|20191118131154.860433|21|127|13|1|1
84|20191118131154.860289|20191118131154.860319|20191118131154.860435|30|116|4|13|2
86|20191118131154.860293|20191118131154.860320|20191118131154.860436|27|116|4|1|1
88|20191118131154.860298|20191118131154.860321|20191118131154.860437|23|116|5|1|1
90|20191118131154.860301|20191118131154.860334|20191118131154.860438|33|104|3|13|1
92|20191118131154.860305|20191118131154.860335|20191118131154.860439|30|104|4|1|1
94|20191118131154.860309|20191118131154.860344|20191118131154.860441|35|97|4|9|2
96|20191118131154.860313|20191118131154.860346|20191118131154.860442|33|96|4|2|1
98|20191118131154.860323|20191118131154.860347|20191118131154.860443|24|96|10|1|1
100|20191118131154.860335|20191118131154.860355|20191118131154.860444|20|89|12|8|1
102|20191118131154.860340|20191118131154.860356|20191118131154.860445|16|89|5|1|1
104|20191118131154.860347|20191118131154.860362|20191118131154.860446|15|84|7|6|1
106|20191118131154.860351|20191118131154.860363|20191118131154.860448|12|85|4|1|2
108|20191118131154.860358|20191118131154.860365|20191118131154.860449|7|84|7|2|1
110|20191118131154.860364|20191118131154.860380|20191118131154.860450|16|70|6|15|1
112|20191118131154.860373|20191118131154.860409|20191118131154.860451|36|42|9|29|1
114|20191118131154.860377|20191118131154.860415|20191118131154.860452|38|37|4|6|1
116|20191118131154.860382|20191118131154.860421|20191118131154.860453|39|32|5|6|1
118|20191118131154.860386|20191118131154.860422|20191118131154.860454|36|32|4|1|1
120|20191118131154.860431|20191118131154.860441|20191118131154.860455|10|14|45|19|1
122|20191118131154.860439|20191118131154.860451|20191118131154.860456|12|5|8|10|1
124|20191118131154.860443|20191118131154.860456|20191118131154.860463|13|7|4|5|7
126|20191118131154.860447|20191118131154.860459|20191118131154.860464|12|5|4|3|1
128|20191118131154.860455|20191118131154.860472|20191118131154.860479|17|7|8|13|15
130|20191118131154.860474|20191118131154.860491|20191118131154.860498|17|7|19|19|19
132|20191118131154.860478|20191118131154.860494|20191118131154.860499|16|5|4|3|1
134|20191118131154.860488|20191118131154.860505|20191118131154.860512|17|7|10|11|13
136|20191118131154.860495|20191118131154.860508|20191118131154.860514|13|6|7|3|2
138|20191118131154.860504|20191118131154.860517|20191118131154.860523|13|6|9|9|9
140|20191118131154.860508|20191118131154.860519|20191118131154.860535|11|16|4|2|12
142|20191118131154.860514|20191118131154.860543|20191118131154.860549|29|6|6|24|14
144|20191118131154.860521|20191118131154.860545|20191118131154.860551|24|6|7|2|2
146|20191118131154.860542|20191118131154.860558|20191118131154.860564|16|6|21|13|13
148|20191118131154.860546|20191118131154.860560|20191118131154.860566|14|6|4|2|2
150|20191118131154.860554|20191118131154.860566|20191118131154.860571|12|5|8|6|5
152|20191118131154.860560|20191118131154.860575|20191118131154.860581|15|6|6|9|10
154|20191118131154.860567|20191118131154.860577|20191118131154.860582|10|5|7|2|1
156|20191118131154.860575|20191118131154.860583|20191118131154.860598|8|15|8|6|16
158|20191118131154.860581|20191118131154.860605|20191118131154.860618|24|13|6|22|20
160|20191118131154.860599|20191118131154.860614|20191118131154.860620|15|6|18|9|2
162|20191118131154.860606|20191118131154.860615|20191118131154.860622|9|7|7|1|2
164|20191118131154.860612|20191118131154.860623|20191118131154.860629|11|6|6|8|7
166|20191118131154.860615|20191118131154.860638|20191118131154.860644|23|6|3|15|15
168|20191118131154.860633|20191118131154.860660|20191118131154.860665|27|5|18|22|21
170|20191118131154.860654|20191118131154.860679|20191118131154.860685|25|6|21|19|20
172|20191118131154.860663|20191118131154.860682|20191118131154.860687|19|5|9|3|2
174|20191118131154.860675|20191118131154.860687|20191118131154.860693|12|6|12|5|6
176|20191118131154.860686|20191118131154.860701|20191118131154.860707|15|6|11|14|14
178|20191118131154.860693|20191118131154.860716|20191118131154.860721|23|5|7|15|14
180|20191118131154.860704|20191118131154.860725|20191118131154.860730|21|5|11|9|9
182|20191118131154.860713|20191118131154.860727|20191118131154.860732|14|5|9|2|2
184|20191118131154.860718|20191118131154.860728|20191118131154.860733|10|5|5|1|1
186|20191118131154.860726|20191118131154.860743|20191118131154.860749|17|6|8|15|16
188|20191118131154.860737|20191118131154.860762|20191118131154.860768|25|6|11|19|19
190|20191118131154.860753|20191118131154.860764|20191118131154.860770|11|6|16|2|2
192|20191118131154.860762|20191118131154.860779|20191118131154.860785|17|6|9|15|15
194|20191118131154.860775|20191118131154.860794|20191118131154.860800|19|6|13|15|15
196|20191118131154.860790|20191118131154.860810|20191118131154.860815|20|5|15|16|15
198|20191118131154.860806|20191118131154.860826|20191118131154.860831|20|5|16|16|16
200|20191118131154.860819|20191118131154.860837|20191118131154.860842|18|5|13|11|11
202|20191118131154.860825|20191118131154.860855|20191118131154.860861|30|6|6|18|19
204|20191118131154.860836|20191118131154.860858|20191118131154.860862|22|4|11|3|1
206|20191118131154.860841|20191118131154.860859|20191118131154.860863|18|4|5|1|1
208|20191118131154.860851|20191118131154.860872|20191118131154.860878|21|6|10|13|15
210|20191118131154.860860|20191118131154.860874|20191118131154.860879|14|5|9|2|1
212|20191118131154.860868|20191118131154.860882|20191118131154.860888|14|6|8|8|9
214|20191118131154.860882|20191118131154.860895|20191118131154.860901|13|6|14|13|13
216|20191118131154.860889|20191118131154.860899|20191118131154.860902|10|3|7|4|1
218|20191118131154.860899|20191118131154.860913|20191118131154.860918|14|5|10|14|16
220|20191118131154.860904|20191118131154.860922|20191118131154.860928|18|6|5|9|10
222|20191118131154.860909|20191118131154.860924|20191118131154.860929|15|5|5|2|1
224|20191118131154.860915|20191118131154.860930|20191118131154.860935|15|5|6|6|6
226|20191118131154.860919|20191118131154.860932|20191118131154.860937|13|5|4|2|2
228|20191118131154.860926|20191118131154.860934|20191118131154.860938|8|4|7|2|1
230|20191118131154.860932|20191118131154.860940|20191118131154.860945|8|5|6|6|7
232|20191118131154.860936|20191118131154.860943|20191118131154.860947|7|4|4|3|2
Spend(us)|763|666|586
Avg(us)|7.63|6.66|5.86
T1(last)-T0(first)=770/100|Avg=7.7
T2(last)-T0(first)=774/100|Avg=7.74
T2(last)-T1(first)=670/100|Avg=6.7
T1-T0|50%=20|75%=36|90%=52|99%=104|99.9%=104|99.99%=104|Worst=86|92|104|
T2-T1|50%=7|75%=83|90%=107|99%=127|99.9%=127|99.99%=127|Worst=126|127|127|
T0-|50%=6|75%=10|90%=16|99%=45|99.9%=45|99.99%=45|Worst=21|21|45|
T1-|50%=3|75%=13|90%=16|99%=29|99.9%=29|99.99%=29|Worst=22|24|29|
T2-|50%=2|75%=12|90%=16|99%=28|99.9%=28|99.99%=28|Worst=20|21|28|
