/home/fonwin/f9utwf/busy/logs/20191118/omstw.log.TwfChg.d4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
333667|20191118094352.767433|20191118094352.767496|20191118094352.767507|63|11
333669|20191118094352.767452|20191118094352.767499|20191118094352.767510|47|11|19|3|3
333671|20191118094352.767480|20191118094352.767509|20191118094352.767511|29|2|28|10|1
333673|20191118094352.767484|20191118094352.767510|20191118094352.767513|26|3|4|1|2
333675|20191118094352.767488|20191118094352.767510|20191118094352.767514|22|4|4|0|1
333677|20191118094352.767497|20191118094352.767511|20191118094352.767515|14|4|9|1|1
333679|20191118094352.767501|20191118094352.767517|20191118094352.767519|16|2|4|6|4
333681|20191118094352.767504|20191118094352.767517|20191118094352.767520|13|3|3|0|1
333683|20191118094352.767512|20191118094352.767519|20191118094352.767521|7|2|8|2|1
333685|20191118094352.767519|20191118094352.767540|20191118094352.767542|21|2|7|21|21
333687|20191118094352.767525|20191118094352.767543|20191118094352.767545|18|2|6|3|3
333689|20191118094352.767545|20191118094352.767557|20191118094352.767560|12|3|20|14|15
333691|20191118094352.767551|20191118094352.767563|20191118094352.767565|12|2|6|6|5
333693|20191118094352.767555|20191118094352.767564|20191118094352.767566|9|2|4|1|1
333695|20191118094352.767561|20191118094352.767566|20191118094352.767568|5|2|6|2|2
333697|20191118094352.767568|20191118094352.767581|20191118094352.767584|13|3|7|15|16
333699|20191118094352.767573|20191118094352.767587|20191118094352.767589|14|2|5|6|5
333701|20191118094352.767577|20191118094352.767587|20191118094352.767590|10|3|4|0|1
333703|20191118094352.767584|20191118094352.767590|20191118094352.767593|6|3|7|3|3
333705|20191118094352.767591|20191118094352.767624|20191118094352.767629|33|5|7|34|36
333707|20191118094352.767596|20191118094352.767627|20191118094352.767630|31|3|5|3|1
333709|20191118094352.767625|20191118094352.767639|20191118094352.767642|14|3|29|12|12
333711|20191118094352.767631|20191118094352.767645|20191118094352.767647|14|2|6|6|5
333713|20191118094352.767635|20191118094352.767645|20191118094352.767648|10|3|4|0|1
333715|20191118094352.767643|20191118094352.767648|20191118094352.767650|5|2|8|3|2
333717|20191118094352.767649|20191118094352.767661|20191118094352.767664|12|3|6|13|14
333719|20191118094352.767654|20191118094352.767669|20191118094352.767671|15|2|5|8|7
333721|20191118094352.767658|20191118094352.767670|20191118094352.767673|12|3|4|1|2
333723|20191118094352.767665|20191118094352.767672|20191118094352.767674|7|2|7|2|1
333725|20191118094352.767672|20191118094352.767686|20191118094352.767689|14|3|7|14|15
333727|20191118094352.767678|20191118094352.767691|20191118094352.767694|13|3|6|5|5
333729|20191118094352.767682|20191118094352.767692|20191118094352.767695|10|3|4|1|1
333731|20191118094352.767689|20191118094352.767712|20191118094352.767716|23|4|7|20|21
333733|20191118094352.767695|20191118094352.767713|20191118094352.767717|18|4|6|1|1
333735|20191118094352.767702|20191118094352.767721|20191118094352.767723|19|2|7|8|6
333737|20191118094352.767706|20191118094352.767722|20191118094352.767725|16|3|4|1|2
333739|20191118094352.767714|20191118094352.767723|20191118094352.767726|9|3|8|1|1
333741|20191118094352.767722|20191118094352.767739|20191118094352.767741|17|2|8|16|15
333743|20191118094352.767733|20191118094352.767777|20191118094352.767780|44|3|11|38|39
333745|20191118094352.767771|20191118094352.767797|20191118094352.767799|26|2|38|20|19
333747|20191118094352.767793|20191118094352.767814|20191118094352.767827|21|13|22|17|28
333749|20191118094352.767807|20191118094352.767834|20191118094352.767837|27|3|14|20|10
333751|20191118094352.767814|20191118094352.767843|20191118094352.767846|29|3|7|9|9
333753|20191118094352.767834|20191118094352.767851|20191118094352.767854|17|3|20|8|8
333755|20191118094352.767843|20191118094352.767860|20191118094352.767862|17|2|9|9|8
333757|20191118094352.767853|20191118094352.767861|20191118094352.767864|8|3|10|1|2
333759|20191118094352.767861|20191118094352.767879|20191118094352.767881|18|2|8|18|17
333761|20191118094352.767873|20191118094352.767889|20191118094352.767891|16|2|12|10|10
333763|20191118094352.767884|20191118094352.767903|20191118094352.767906|19|3|11|14|15
333765|20191118094352.767891|20191118094352.767904|20191118094352.767907|13|3|7|1|1
333767|20191118094352.767900|20191118094352.767918|20191118094352.767922|18|4|9|14|15
333769|20191118094352.767914|20191118094352.767926|20191118094352.767928|12|2|14|8|6
333771|20191118094352.767924|20191118094352.767933|20191118094352.767936|9|3|10|7|8
333773|20191118094352.767931|20191118094352.767942|20191118094352.767944|11|2|7|9|8
333775|20191118094352.767941|20191118094352.767950|20191118094352.767952|9|2|10|8|8
333777|20191118094352.767948|20191118094352.767963|20191118094352.767965|15|2|7|13|13
333779|20191118094352.767962|20191118094352.767978|20191118094352.767981|16|3|14|15|16
333781|20191118094352.767973|20191118094352.767994|20191118094352.767996|21|2|11|16|15
333783|20191118094352.767983|20191118094352.768010|20191118094352.768013|27|3|10|16|17
333785|20191118094352.767992|20191118094352.768011|20191118094352.768014|19|3|9|1|1
333787|20191118094352.767998|20191118094352.768012|20191118094352.768015|14|3|6|1|1
333789|20191118094352.768007|20191118094352.768029|20191118094352.768032|22|3|9|17|17
333791|20191118094352.768024|20191118094352.768038|20191118094352.768040|14|2|17|9|8
333793|20191118094352.768035|20191118094352.768047|20191118094352.768050|12|3|11|9|10
333795|20191118094352.768041|20191118094352.768057|20191118094352.768059|16|2|6|10|9
333797|20191118094352.768054|20191118094352.768066|20191118094352.768068|12|2|13|9|9
333799|20191118094352.768061|20191118094352.768075|20191118094352.768077|14|2|7|9|9
333801|20191118094352.768072|20191118094352.768085|20191118094352.768087|13|2|11|10|10
333803|20191118094352.768078|20191118094352.768100|20191118094352.768103|22|3|6|15|16
333805|20191118094352.768088|20191118094352.768101|20191118094352.768104|13|3|10|1|1
333807|20191118094352.768093|20191118094352.768114|20191118094352.768120|21|6|5|13|16
333809|20191118094352.768103|20191118094352.768115|20191118094352.768121|12|6|10|1|1
333811|20191118094352.768112|20191118094352.768124|20191118094352.768127|12|3|9|9|6
333813|20191118094352.768122|20191118094352.768129|20191118094352.768132|7|3|10|5|5
333815|20191118094352.768127|20191118094352.768132|20191118094352.768134|5|2|5|3|2
333817|20191118094352.768133|20191118094352.768144|20191118094352.768146|11|2|6|12|12
