/home/fonwin/f9utwf/busy/logs/20191118/omstw.log.TwfNew.g3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
34|20191118094011.523529|20191118094011.523587|20191118094011.523599|58|12
36|20191118094011.523545|20191118094011.523590|20191118094011.523601|45|11|16|3|2
38|20191118094011.523550|20191118094011.523591|20191118094011.523602|41|11|5|1|1
40|20191118094011.523572|20191118094011.523592|20191118094011.523604|20|12|22|1|2
42|20191118094011.523577|20191118094011.523599|20191118094011.523605|22|6|5|7|1
44|20191118094011.523581|20191118094011.523600|20191118094011.523606|19|6|4|1|1
46|20191118094011.523587|20191118094011.523601|20191118094011.523608|14|7|6|1|2
48|20191118094011.523592|20191118094011.523602|20191118094011.523609|10|7|5|1|1
50|20191118094011.523596|20191118094011.523604|20191118094011.523610|8|6|4|2|1
52|20191118094011.523602|20191118094011.523620|20191118094011.523623|18|3|6|16|13
54|20191118094011.523611|20191118094011.523640|20191118094011.523642|29|2|9|20|19
56|20191118094011.523615|20191118094011.523641|20191118094011.523643|26|2|4|1|1
58|20191118094011.523637|20191118094011.523644|20191118094011.523646|7|2|22|3|3
60|20191118094011.523643|20191118094011.523653|20191118094011.523655|10|2|6|9|9
62|20191118094011.523649|20191118094011.523656|20191118094011.523658|7|2|6|3|3
64|20191118094011.523655|20191118094011.523669|20191118094011.523671|14|2|6|13|13
66|20191118094011.523661|20191118094011.523675|20191118094011.523677|14|2|6|6|6
68|20191118094011.523665|20191118094011.523676|20191118094011.523678|11|2|4|1|1
70|20191118094011.523673|20191118094011.523678|20191118094011.523683|5|5|8|2|5
72|20191118094011.523680|20191118094011.523703|20191118094011.523706|23|3|7|25|23
74|20191118094011.523685|20191118094011.523706|20191118094011.523708|21|2|5|3|2
76|20191118094011.523689|20191118094011.523712|20191118094011.523715|23|3|4|6|7
78|20191118094011.523708|20191118094011.523719|20191118094011.523734|11|15|19|7|19
80|20191118094011.523717|20191118094011.523739|20191118094011.523741|22|2|9|20|7
82|20191118094011.523731|20191118094011.523747|20191118094011.523749|16|2|14|8|8
84|20191118094011.523735|20191118094011.523748|20191118094011.523751|13|3|4|1|2
86|20191118094011.523743|20191118094011.523750|20191118094011.523752|7|2|8|2|1
88|20191118094011.523750|20191118094011.523760|20191118094011.523763|10|3|7|10|11
90|20191118094011.523756|20191118094011.523763|20191118094011.523765|7|2|6|3|2
92|20191118094011.523762|20191118094011.523772|20191118094011.523775|10|3|6|9|10
94|20191118094011.523767|20191118094011.523775|20191118094011.523777|8|2|5|3|2
96|20191118094011.523774|20191118094011.523786|20191118094011.523789|12|3|7|11|12
98|20191118094011.523780|20191118094011.523792|20191118094011.523794|12|2|6|6|5
100|20191118094011.523783|20191118094011.523793|20191118094011.523795|10|2|3|1|1
102|20191118094011.523790|20191118094011.523795|20191118094011.523797|5|2|7|2|2
104|20191118094011.523797|20191118094011.523834|20191118094011.523838|37|4|7|39|41
106|20191118094011.523802|20191118094011.523836|20191118094011.523840|34|4|5|2|2
108|20191118094011.523818|20191118094011.523837|20191118094011.523841|19|4|16|1|1
110|20191118094011.523829|20191118094011.523844|20191118094011.523846|15|2|11|7|5
112|20191118094011.523836|20191118094011.523845|20191118094011.523847|9|2|7|1|1
114|20191118094011.523843|20191118094011.523857|20191118094011.523860|14|3|7|12|13
116|20191118094011.523850|20191118094011.523859|20191118094011.523861|9|2|7|2|1
118|20191118094011.523857|20191118094011.523879|20191118094011.523881|22|2|7|20|20
120|20191118094011.523874|20191118094011.523898|20191118094011.523900|24|2|17|19|19
122|20191118094011.523889|20191118094011.523899|20191118094011.523901|10|2|15|1|1
124|20191118094011.523898|20191118094011.523928|20191118094011.523931|30|3|9|29|30
126|20191118094011.523910|20191118094011.523943|20191118094011.523945|33|2|12|15|14
128|20191118094011.523937|20191118094011.523960|20191118094011.523962|23|2|27|17|17
130|20191118094011.523948|20191118094011.523970|20191118094011.523972|22|2|11|10|10
132|20191118094011.523958|20191118094011.523971|20191118094011.523973|13|2|10|1|1
134|20191118094011.523964|20191118094011.523980|20191118094011.523982|16|2|6|9|9
136|20191118094011.523972|20191118094011.523981|20191118094011.523984|9|3|8|1|2
138|20191118094011.523979|20191118094011.523996|20191118094011.523999|17|3|7|15|15
140|20191118094011.523993|20191118094011.524012|20191118094011.524015|19|3|14|16|16
142|20191118094011.524008|20191118094011.524029|20191118094011.524032|21|3|15|17|17
144|20191118094011.524021|20191118094011.524030|20191118094011.524033|9|3|13|1|1
146|20191118094011.524029|20191118094011.524046|20191118094011.524048|17|2|8|16|15
148|20191118094011.524041|20191118094011.524063|20191118094011.524066|22|3|12|17|18
150|20191118094011.524055|20191118094011.524075|20191118094011.524078|20|3|14|12|12
152|20191118094011.524062|20191118094011.524085|20191118094011.524088|23|3|7|10|10
154|20191118094011.524076|20191118094011.524094|20191118094011.524097|18|3|14|9|9
156|20191118094011.524085|20191118094011.524095|20191118094011.524098|10|3|9|1|1
158|20191118094011.524095|20191118094011.524109|20191118094011.524112|14|3|10|14|14
160|20191118094011.524105|20191118094011.524124|20191118094011.524126|19|2|10|15|14
162|20191118094011.524122|20191118094011.524138|20191118094011.524140|16|2|17|14|14
164|20191118094011.524136|20191118094011.524153|20191118094011.524155|17|2|14|15|15
166|20191118094011.524150|20191118094011.524169|20191118094011.524171|19|2|14|16|16
168|20191118094011.524157|20191118094011.524170|20191118094011.524172|13|2|7|1|1
170|20191118094011.524164|20191118094011.524175|20191118094011.524184|11|9|7|5|12
172|20191118094011.524170|20191118094011.524183|20191118094011.524186|13|3|6|8|2
174|20191118094011.524184|20191118094011.524215|20191118094011.524218|31|3|14|32|32
176|20191118094011.524211|20191118094011.524232|20191118094011.524234|21|2|27|17|16
178|20191118094011.524226|20191118094011.524245|20191118094011.524247|19|2|15|13|13
180|20191118094011.524235|20191118094011.524255|20191118094011.524258|20|3|9|10|11
182|20191118094011.524244|20191118094011.524264|20191118094011.524267|20|3|9|9|9
184|20191118094011.524255|20191118094011.524272|20191118094011.524274|17|2|11|8|7
